JobRoleID,JobRole,JobLevel,LevelLabel,Department,MinSalary_USD,MaxSalary_USD,RequiredSkills,IsManagementRole
JR0001,Analyst - Engineering,L1,Analyst,Engineering,55000,85000,"Python,SQL,ML",False
JR0002,Analyst - Product,L1,Analyst,Product,55000,85000,"IFRS,SAP,Excel",False
JR0003,Analyst - Data & Analytics,L1,Analyst,Data & Analytics,55000,85000,"Communication,CRM",False
JR0004,Analyst - IT Operations,L1,Analyst,IT Operations,55000,85000,"Python,SQL,ML",False
JR0005,Analyst - Cybersecurity,L1,Analyst,Cybersecurity,55000,85000,"Python,SQL,ML",False
JR0006,Analyst - Cloud Infrastructure,L1,Analyst,Cloud Infrastructure,55000,85000,"Java,Spring,AWS",False
JR0007,Analyst - QA & Testing,L1,Analyst,QA & Testing,55000,85000,"Java,Spring,AWS",False
JR0008,Analyst - DevOps,L1,Analyst,DevOps,55000,85000,"Leadership,Strategy",False
JR0009,Analyst - Risk & Compliance,L1,Analyst,Risk & Compliance,55000,85000,"Leadership,Strategy",False
JR0010,Analyst - Retail Banking,L1,Analyst,Retail Banking,55000,85000,"Leadership,Strategy",False
JR0011,Analyst - Investment Banking,L1,Analyst,Investment Banking,55000,85000,"Java,Spring,AWS",False
JR0012,Analyst - Finance & Accounting,L1,Analyst,Finance & Accounting,55000,85000,"Leadership,Strategy",False
JR0013,Analyst - Wealth Management,L1,Analyst,Wealth Management,55000,85000,"Python,SQL,ML",False
JR0014,Analyst - Operations,L1,Analyst,Operations,55000,85000,"Java,Spring,AWS",False
JR0015,Analyst - Treasury,L1,Analyst,Treasury,55000,85000,"Leadership,Strategy",False
JR0016,Analyst - Audit,L1,Analyst,Audit,55000,85000,"Python,SQL,ML",False
JR0017,Analyst - Merchandising,L1,Analyst,Merchandising,55000,85000,"Leadership,Strategy",False
JR0018,Analyst - Supply Chain,L1,Analyst,Supply Chain,55000,85000,"Excel,PowerBI,SQL",False
JR0019,Analyst - Customer Experience,L1,Analyst,Customer Experience,55000,85000,"Leadership,Strategy",False
JR0020,Analyst - Marketing,L1,Analyst,Marketing,55000,85000,"Excel,PowerBI,SQL",False
JR0021,Senior Analyst - Engineering,L2,Senior Analyst,Engineering,75000,115000,"Leadership,Strategy",False
JR0022,Senior Analyst - Product,L2,Senior Analyst,Product,75000,115000,"IFRS,SAP,Excel",False
JR0023,Senior Analyst - Data & Analytics,L2,Senior Analyst,Data & Analytics,75000,115000,"IFRS,SAP,Excel",False
JR0024,Senior Analyst - IT Operations,L2,Senior Analyst,IT Operations,75000,115000,"Communication,CRM",False
JR0025,Senior Analyst - Cybersecurity,L2,Senior Analyst,Cybersecurity,75000,115000,"IFRS,SAP,Excel",False
JR0026,Senior Analyst - Cloud Infrastructure,L2,Senior Analyst,Cloud Infrastructure,75000,115000,"IFRS,SAP,Excel",False
JR0027,Senior Analyst - QA & Testing,L2,Senior Analyst,QA & Testing,75000,115000,"Leadership,Strategy",False
JR0028,Senior Analyst - DevOps,L2,Senior Analyst,DevOps,75000,115000,"Java,Spring,AWS",False
